Video ID,Playlist video creation timestamp
zbvaszsfmmI,2019-09-28T19:08:15+00:00
YzQpDKBiynQ,2019-09-28T19:05:42+00:00
 -mHVVHRtgUI,2019-09-28T19:04:23+00:00
rfFRMulaby4,2019-09-28T18:30:54+00:00
gCbHlBqK6Vk,2019-09-28T18:28:11+00:00
RztUdknG9H4,2019-09-28T17:53:41+00:00
H4ERHRe2bt0,2019-09-13T02:31:47+00:00
lDAGaG_PCq0,2019-09-13T02:22:30+00:00
udtByWgt1Mk,2019-09-08T15:30:04+00:00
EJlfc6rF9R0,2019-09-08T15:26:54+00:00
shHTYg-rOAg,2019-09-05T14:37:26+00:00
TUJmSgViGoM,2019-05-25T18:52:16+00:00
_dK2tDK9grQ,2019-05-14T19:49:14+00:00
4G7SEL4zwy8,2019-05-14T19:24:12+00:00
cbvBHoSOqn0,2019-05-04T08:19:21+00:00
HQ_j4Ytecgg,2019-05-04T08:16:35+00:00
RPfNkrfn-7o,2019-05-04T08:15:53+00:00
RqTA6viAinE,2019-02-28T18:31:02+00:00
J43Z9XKj4DA,2019-02-23T17:43:05+00:00
J3BA9CLWvmQ,2018-12-25T18:40:59+00:00
D9VMgTWEEIA,2018-12-13T15:49:39+00:00
I90oxWF2lms,2018-12-13T15:20:31+00:00
UHAXKQtaeG4,2018-12-13T15:19:23+00:00
qHZiIxprsrs,2018-12-13T15:06:06+00:00
qGPFmBbnsNM,2018-12-13T15:05:08+00:00
ioN2bsYaL1c,2018-10-22T12:55:49+00:00
zguFTB8RuGM,2018-10-02T15:49:49+00:00
fJ9rUzIMcZQ,2018-10-02T15:42:59+00:00
T2urfFpDX1c,2018-10-02T15:10:41+00:00
P2OX8uIwm2g,2018-10-02T14:37:12+00:00
NItzioiWW1Y,2018-10-02T14:31:56+00:00
XYqca99Cjiw,2018-10-02T14:04:58+00:00
l-9VZZWtMfQ,2018-09-25T14:30:42+00:00
BIMBJibg_mQ,2018-09-23T16:40:33+00:00
u2RdlY-X9UU,2018-09-23T14:11:36+00:00
yWPZmQLvS3o,2018-09-22T19:14:36+00:00
1LVdtx0optk,2018-09-22T19:12:44+00:00
LrKjRMK-gwQ,2018-09-22T18:32:08+00:00
LYkOG5OmUcA,2018-09-15T01:19:17+00:00
Ja-royP4GJI,2018-09-12T14:07:13+00:00
4RojlDwD07I,2018-09-05T04:10:42+00:00
DHbLuIxw3y4,2018-08-03T06:02:39+00:00
n_k8_HSA1-o,2018-06-24T19:25:06+00:00
relfz3ZFsZA,2018-06-24T18:50:36+00:00
dWwEi4SNf1M,2018-06-07T15:59:35+00:00
EE-ZsGvUAR4,2018-06-07T15:59:08+00:00
6Whgn_iE5uc,2018-06-07T15:56:20+00:00
Bk7RVw3I8eg,2018-06-07T15:37:57+00:00
thT3EcbVIXM,2018-06-07T15:29:20+00:00
4REbp0s_G9w,2018-06-07T15:05:58+00:00
ooZR4LSuppk,2018-06-07T14:53:59+00:00
uqIbeGvHTjo,2018-06-07T14:43:53+00:00
9zhbiwn6LQM,2018-06-07T14:18:04+00:00
PHISaPkPagU,2018-06-02T19:29:09+00:00
VQc5O5nvXJA,2018-06-02T19:27:41+00:00
rQulO-hIZwc,2018-06-02T19:16:01+00:00
57KXozHUUWU,2018-06-02T19:11:29+00:00
bYDiPg6Ow3c,2018-06-02T18:58:40+00:00
NAEppFUWLfc,2018-06-02T18:47:02+00:00
cZcsImgGmRY,2018-06-02T18:22:18+00:00
SUTnFRlk8gQ,2018-06-02T18:17:57+00:00
L-JQ1q-13Ek,2018-06-02T18:16:44+00:00
PUlQNsl4Qvk,2018-06-02T17:56:44+00:00
ZDhLJeU455w,2018-06-02T17:55:24+00:00
zW_HALP76mY,2018-06-02T16:24:58+00:00
irK0Su5SE2Y,2018-06-02T16:07:47+00:00
cZnBNuqqz5g,2018-06-02T15:58:32+00:00
qQtEu1-qGuY,2018-05-27T10:50:24+00:00
gWyBmuLqx6M,2018-04-30T02:21:34+00:00
1TO48Cnl66w,2018-04-16T05:52:34+00:00
DtifmkrCv2I,2018-04-16T05:44:07+00:00
M5Ii2wcD1y4,2018-01-03T20:07:31+00:00
8VDCaldp4qc,2017-12-18T19:30:16+00:00
Q1z4khQ19Ms,2017-12-18T19:29:26+00:00
bxhrgCyl6Og,2017-12-18T18:40:09+00:00
aCFnzSCzoYA,2017-12-18T18:38:20+00:00
rC2tSTWIARY,2017-12-12T19:52:12+00:00
J2CQAW446gs,2017-12-12T19:48:17+00:00
fyB3gHcSeM8,2017-12-12T19:26:52+00:00
Z7KkBrUhk4A,2017-12-12T18:20:51+00:00
 -TGOpoJ3y6I,2017-10-22T20:42:46+00:00
_X4e2uTGrnM,2017-05-13T19:21:49+00:00
BthwIOrXAx0,2017-05-13T18:15:35+00:00
iQzB5T_B_iI,2017-05-13T15:24:50+00:00
w46bWxS9IjY,2017-05-13T15:22:04+00:00
JpKR4LZUsh4,2017-05-13T15:19:25+00:00
vVv_bleChDM,2017-03-04T00:06:13+00:00
MDt1Ed_Qwlo,2017-02-26T14:20:56+00:00
6aQKL1T8hUU,2017-02-04T14:32:35+00:00
FdCWgBpfePo,2015-07-04T16:42:02+00:00
IO7t7fRk4IU,2015-03-28T15:27:50+00:00
IWu9o5zrj3g,2015-03-28T15:23:30+00:00
1U1diFF0Llc,2014-10-02T17:09:52+00:00
RfW7PnwvaFs,2014-08-17T20:58:16+00:00
kn2f1AVB9W4,2014-08-17T20:45:24+00:00
gT0vFQ0ZLCA,2014-08-17T18:16:14+00:00
YR5ApYxkU-U,2013-01-01T18:04:44+00:00
JnDAwHd-AXk,2012-11-03T18:50:25+00:00
v70cFTZxX5A,2012-11-03T18:46:21+00:00
 -lB9Z4IeTDc,2012-02-14T16:19:27+00:00
aT1k-E9GRFI,2012-02-08T17:58:44+00:00
r_N1qBN1yyE,2012-01-16T17:27:18+00:00
La1QuUppy1o,2012-01-16T17:04:06+00:00
CJ4fKSmOf3U,2012-01-10T16:17:15+00:00
L0qmuE0hhYA,2011-12-06T09:45:32+00:00
gy5X6Y3TyWY,2011-11-11T19:08:24+00:00
hV9KIDB3P8E,2011-11-11T19:05:38+00:00
3Qwn1jRsQBE,2011-11-11T19:01:18+00:00
a6cs4VDQ5hs,2011-11-11T18:58:11+00:00
gLdLaSsEhsc,2011-08-13T09:50:33+00:00
Ci4Et17sxSo,2011-08-06T18:55:35+00:00
azbHEzTy2l4,2010-10-04T08:19:22+00:00
0f9Z1r0HkGU,2010-10-04T07:56:11+00:00
nUPd9Owv7Po,2010-06-15T07:10:21+00:00





